Ime,Drzava,Datum ustanovitve,Opis
Activision,United States,1979,Also video game publisher; acquired several other developers; merged with Vivendi to form Activision Blizzard in 2008
Activision Blizzard,United States,2008,Formed by merger between Activision and Vivendi Games in 2008.
Addictive Games,UK,1982,"Acquired by Prism Leisure Corporation in 1987, which continued to use the Addictive Games label until 1992."
Adventure International,United States,1978,Defunct in 1985.
Adventure Soft,United Kingdom,1992,"The development company is now defunct but the publishing company, Adventure Soft Publishing, is still active."
Affect,Japan,1990,Defunct in 2008.
Agatsuma Entertainment,Japan,1997,Defunct in 2016.
Agetec,United States,1998,Focuses on distributing Japanese titles in the US.
Akabeisoft2,Japan,2005,
Akella,Russia,1995,Defunct in 2012
Aksys,United States,2006,
Akupara Games,United States,2016,"Also a video game developer, and does work for hire console and mobile porting."
Alawar,Russia,1999,"Also a video game developer, marketer, and distributor."
Alchemist,Japan,1991,Defunct in 2016.
Alfa System,Japan,1988,
AliceSoft,Japan,1989,
Alligata,UK,1983,Acquired by Superior Software in 1987.
Allumer,Japan,1983,Defunct in 1999.
AlphaDream,Japan,2000,Defunct in 2019
Alten8,UK,2005,Also a video game developer.
Alternative Software,UK,1985,
Amazon Game Studios,United States,2012,Subsidiary of Amazon.com
"Amazon Game Studios, Orange County (formerly Double Helix Games)",United States,2007,acquired by Amazon and incorporated in Amazon Game Studios
Ambrella,Japan,1996,
American Game Cartridges,United States,1990,Defunct in 1994.
American Laser Games,United States,1989,"Acquired by its former division, Her Interactive, in 1999."
American Video Entertainment,United States,1990,Published last game in 1994.
Amplitude Studios,France,2011,Acquired by Sega in 2016 and their games are now published by Sega.
Amsoft,UK,1984,Publishing arm of Amstrad until 1989.
Amusement Vision,Japan,2000,Subsidiary of Sega
Ancient,Japan,1990,
Anino,Philippines,2001,
Ankama Games,France,2001,
Antic Software,United States,1982,Software publishing arm of Antic. Defunct in 1990.
Anuman,France,2000,Also a video game developer.
Apogee Software,United States,2008,Also a video game developer.
Apple Inc.,United States,1976,Known as Apple Computer until 2007.
Appy Entertainment,United States,2008,
Aquaplus,Japan,1994,
Aquria,Japan,2002,
Arc System Works,Japan,1988,Developer/publisher
Arcadia Systems,United States,1987,Division of Mastertronic. Defunct in 1991.
Arcane Kids,United States,2010,
Arcen Games,United States,2009,
ArenaNet,United States,2000,Subsidiary of NCSoft
Argus Press,UK,1966,"Published games through its Argus Press Software division, which was acquired in 1987 and renamed Grandslam Entertainment."
Arika,Japan,1995,
Ariolasoft,Germany,1983,Software publishing arm of Ariola Records. Reestablished as United Software in 1990.
Arkane Studios,France,1999,Subsidiary of ZeniMax Media
Arkedo Studio,France,2006,Defunct in 2013
Armor Games,United States,2005,"Published flash titles before branching out into mobile, PC, and console markets."
Arsys Software,Japan,1985,Defunct in 2001.
"Art Co., Ltd",Japan,1995,
Artdink,Japan,1986,
ArtePiazza,Japan,1989,
Artech Digital Entertainment,Canada,1982,Defunct in 2011.
Artic Computing,UK,1980,Defunct in 1986.
Artificial Studios,United States,2001,Subsumed by Ignition Entertainment which was defunct in 2012
Artoon,Japan,1999,Subsidiary of AQ Interactive; defunct in 2010
Arush Entertainment,United States,1999,Acquired by HIP Interactive in 2004; defunct in 2005.
Arxel Tribe,Slovenia,1989,Last game published in 2003.
Arzest,Japan,2010,Formed by former employees of Artoon
Ascaron,Germany,1989,Developer/publisher; closed in 2009
Asmik Corporation of America,Japan,1985,Merged with Ace Entertainment.
Asobo Studio,France,2002,
Aspyr Media,United States,1996,Specializes in porting Windows games to Mac OS.
Astragon,Germany,2000,
Atari Corp.,United States,1984,"Founded as Tramel Technology, Ltd. in 1984; acquired Atari name shortly thereafter. Reverse-merged with JMS Inc. in 1996."
Atari Games,United States,1984,"Also published console games under the Tengen label. Subsidiary of Time Warner until acquisition by WMS Industries in 1996, which spun it off as a subsidiary of Midway Games in 1998; renamed to Midway Games West at the same time. Dissolved in 2003."
Atari Interactive (formerly Hasbro Interactive),United States,1995,Acquired by Infogrames in 2001
"Atari, Inc",United States,1972,"Bought by Warner Bros. in 1976. Closed in 1984, assets split between Atari Corporation and Atari Games."
"Atari, SA",France,2003,"Formerly GT Interactive Software, became full subsidiary of Atari, SA in 2008."
Athena,Japan,1987,No longer publishes video games.
Atlantis Software,UK,1984,Defunct in 1992.
Atlus,Japan,1986,Developer/publisher; acquired by Sega in 2013
Atomic Planet Entertainment,United Kingdom,2000,Closed in 2009
Attic Entertainment Software,Germany,1990,Developer/publisher; defunct in 2001
Audiogenic Limited,UK,1975,Defunct in 1985; reformed as Audiogenic Software Ltd.
August,Japan,2001,
Auran Development,Australia,1995,Now known as N3V Games.
Automata UK,UK,1977,Defunct in 1985.
Autumn Games,United States,2007,Focused on providing publishing services for independent developers for digital platforms.
Avalanche Studios Group,Sweden,2003,Acquired by Nordisk Film in 2018
Avalon Hill,United States,1954,Acquired by Hasbro in 1998.
Aventuras AD,Spain,1987,Defunct in 1992.
Aventurine SA,Greece,2002,
B.B. Studio,Japan,1994,Formerly known as Banpre Kikaku and Banpresoft; Subsidiary of Bandai Namco Entertainment
BAM! Entertainment,United States,1999,Dormant since 2004.
BBC Multimedia,UK,1995,Defunct in 2005.
Babaroga,United States,2001,
Backflip Studios,United States,2009,Subsidiary of Hasbro; closed in 2019[2]
Bandai Games,Japan,1950,Video game operations merged with Namco as Namco Bandai Games. No longer publishes video games.
Bandai Namco Entertainment,Japan,1955,
Bandai Namco EntertainmentBandai Namco Studios,Japan,19552012,Bandai Namco Entertainment is a subsidiary of Bandai Namco Holdings; Bandai Namco Studios was split off from Bandai Namco Entertainment in 2012
Banpresto,Japan,1977,Acquired by Namco Bandai Holdings. No longer publishes video games.
Bauhaus Entertainment,Japan,2006,Division of Imagica DigitalScape [ja]
Beagle Bros,United States,1980,Defunct in 1991.
Beenox,Canada,2000,"Acquired by Activision on May 25, 2005"
Behaviour Interactive,Canada,1992,
Behaviour Santiago,Chile,2002,Subsidiary of Behaviour Interactive; closed in 2017
Bend Studio,United States,"1993 (Founded as Blank, Berlyn and Co., later Eidetic)","Founded by Blank, Berlyn and Co. and Eidetic, acquired by Sony Interactive Entertainment as a part of SIE Worldwide Studios in 2000."
Bergsala Lightweight,Japan,1995,
Berkeley Systems,United States,1987,Acquired by Sierra in 1997. Defunct in 2000.
Best Way,Ukraine,1991,
Bethesda Game Studios,United States,2001,In-house development team of Bethesda Softworks LLC
Bethesda Softworks,United States,1986,Also a video game developer. Acquired by Microsoft in 2020.
Beyond Software,United Kingdom,1983,Acquired by Telecomsoft in 1985.
Big Blue Bubble,Canada,2004,Acquired by Enad Global 7 in 2020.[3]
Big Finish Games,United States,2007,
Big Fish Games,United States,2002,Acquired by Aristocrat Technologies in 2018
Big Five Software,United States,1980,Defunct in 1984.
Big Huge Games,United States,2000,Acquired by Nexon in 2016
BioWare,Canada,1995,Acquired by Electronic Arts in 2007
Bits Studios,United Kingdom,1991,Acquired by PlayWize in 2008
Bizarre Creations,United Kingdom,1994,Defunct in 2011
Black Bean Games,Italy,2004,Merged with Milestone S.r.l. in 2012.
Black Forest Games,Germany,2012,Acquired by THQ Nordic in 2017
Black Isle Studios,United States,1996,Subsidiary of Interplay Entertainment; closed in 2003
Black Legend,UK,1993,Defunct in 1996.
Black Rock Studio,United Kingdom,1998,Defunct in 2011
Black Wing Foundation,Ukraine,2006,
Blitz Games Studios,United Kingdom,1990,Liquidated[7]
Blizzard Entertainment,United States,1991,Developer/publisher; acquired by Vivendi and became part of Vivendi Games group in 1998; merged into Activision Blizzard in 2008
Bloober Team,Poland,2008,
Blue Byte,Germany,1988,Also a video game developer. Acquired by Ubisoft and their games are now published by Ubisoft.
Blue Fang Games,United States,1998,Shut down in 2011
Blue Ribbon,UK,1985,Label of CDS Micro Systems. Defunct in 1991.
Blue Tongue Entertainment,Australia,1995,Shut down in 2011; subsidiary of THQ
Bluehole,South Korea,2007,
Bluepoint Games,United States,2006,
Blueside,South Korea,2003,Founded by former employees of Phantagram
Bohemia Interactive,Czech Republic,1999,
Boss Fight Entertainment,United States,2013,
Boss Key Productions,United States,2014,Founded by Cliff Bleszinski and Arjan Brussee
"Box Office, Inc.",United States,1987,Published last game in 1989.
Brash Entertainment,United States,2007,Defunct in 2008.
BreakAway Games,United States,1998,
Broccoli,Japan,1994,
Broderbund,United States,1980,"Acquired by Ubisoft, eventually sold to The Learning Company. No longer publishes video games."
Brøderbund,United States,1980,Closed in 1998
Bubble Bus Software,UK,1982,Defunct in 1989.
BudgeCo,United States,1981,Defunct in 1983.
Bug-Byte,UK,1980,
Bugbear Entertainment,Finland,2000,Acquired by THQ Nordic in 2018
Bullet-Proof Software,Japan,1980,Defunct.
Bullfrog Productions,United Kingdom,1987,Acquired by Electronic Arts in 1995 and closed in 2001
Bungie,United States,1991,Formerly a subsidiary of Microsoft Game Studios
C&E,Taiwan,1990,No longer publishes video games.
CBS Electronics,United States,1982,Closed in 1984.
CCP Games,Iceland,1997,Their Newcastle studio was acquired by Sumo Digital. CCP Games itself was acquired by Pearl Abyss.
CD Projekt Red,Poland,2002,Game development studio of CD Projekt
CDS Software,UK,1982,Reformed as iDigicon Ltd in 2002.
CDV Software Entertainment AG,Germany,1989,Defunct in 2010.
CI Games,Poland,2002,Also a video game developer. Also known as City Interactive.
CRL Group,UK,1982,Published last game in 1989.
California Dreams,United States,1987,Publishing label of Logical Design Works. Defunct in 1991.
California Pacific Computer Company,United States,1979,Defunct in 1983.
Camelot Software Planning,Japan,1990,
Camerica,Illinois,1988,
Canal+ Multimedia,France,1984,Publishing arm of the Canal+ Group. No longer publishes video games.
Candy Soft,Japan,1996,
Capcom,Japan,1979,Developer/publisher
Capcom Vancouver,Canada,2005,"Founded as Blue Castle Games; acquired by Capcom in 2010; closed on September 18, 2018"
Capstone Software,United States,1984,Subsidiary of IntraCorp. Defunct in 1996.
Caramel Box,Japan,2002,Division of HOBIBOX. Formerly known as HimeyaSoft.
Carbine Studios,United States,2005,Subsidiary of NCSoft
Carry Lab,Japan,1981,Defunct.
Casady & Greene,United States,1984,Defunct in 2003.
Cases Computer Simulations,UK,1982,Published last game in 1994.
Cattle Call,Japan,1998,Formed by former employees of Data East
Cauldron,Slovakia,1996,Their assets were acquired by Bohemia Interactive[8]
Cave,Japan,1994,
Cavia,Japan,2000,
Centuri,United States,1969,Known as Allied Leisure until 1980. Defunct in 1985.
Certain Affinity,United States,2006,Co-developed the Halo series
Chair Entertainment,United States,2005,Subsidiary of Epic Games
ChessBase,Germany,1986,
Chunsoft,Japan,1984,Merged with Spike to become Spike Chunsoft in 2012
Cinematronics,United States,1975,Acquired by Tradewest in 1987 and renamed to Leland Corporation.
Cinemaware,United States,1985,Defunct in 1991. Reestablished as Cinemaware Inc. in 2000.
Cinemax,Czech Republic,1998,
Cing,Japan,1999,
Circus,Japan,2000,
Clap Hanz,Japan,1998,
Climax Entertainment,Japan,1990,
Climax Studios,United Kingdom,1988,
Clover Studio,Japan,2004,Subsidiary of Capcom; became defunct in 2007.
Club Kidsoft,United States,1992,Defunct.
Coded Illusions,Netherlands,2005,
Codemasters,United Kingdom,1985,Former subsidiary of Reliance Entertainment; developer/publisher
Coffee Stain Studios,Sweden,2010,Acquired by THQ Nordic AB (latterly Embracer Group) in 2018
Cohort Studios,United Kingdom,2006,
Coktel Vision,France,1985,Former publisher
Coleco,United States,1932,"Also a video game console (ColecoVision and Telstar) and video game developer. Revived in 2005, after being defunct since 1988."
Color Dreams,United States,1988,Also a video game developer.
Colossal Order,Finland,2009,Developer for Paradox Interactive
CommaVid,United States,1981,Defunct in 1983.
Commercial Data Systems,Canada,1982,Exited the video game industry in 1990.
Commodore,United States,1954,Defunct in 1994.
Compile,Japan,1982,Defunct in 2003.
Compile Heart,Japan,2006,Developer/publisher; subsidiary of Idea Factory
CompuServe,United States,1969,Defunct in 2009.
Compulsion Games,Canada,2009,Acquired by Microsoft Studios in 2018
Computer and Video Games,UK,1981,"Label of Future Publishing. Also known C&VG, CVG, or C+VG. Defunct in 2004."
Conspiracy Entertainment,United States,1997,Also a video game developer.
Core Design,United Kingdom,1988,Subsidiary of Eidos Interactive; closed down in 2006
Cosmi Corporation,United States,1982,
Crafts & Meister,Japan,2004,
Crave Entertainment,United States,1997,
Crawfish Interactive,United Kingdom,1997,Defunct in 2002
Crea-Tech,Japan,1988,
Creat Studios,United States,1990,
Creative Assembly,United Kingdom,1987,Acquired by Sega in 2005
Creative Computing,United States,1974,Defunct in 1985.
Creatures,Japan,1995,
Crimson Cow,Germany,2002,
Criterion Games,United Kingdom,1993,Subsidiary of Electronic Arts
Cronosoft,UK,2002,
Croteam,Croatia,1993,
Cryo Interactive,France,1992,Bankrupt in 2002
Cryptic Studios,United States,2000,Subsidiary of Perfect World
Crystal Computing,UK,1982,Reestablished as Design Design in 1984.
Crystal Dynamics,United States,1992,Acquired by Square Enix in 2009
Crytek,Germany,1999,
Crytek UK,United Kingdom,1999,Founded as Free Radical Design; acquired by Crytek in 2009; defunct in 2014
Culture Brain Excel,Japan,1980,
Cyan Worlds,United States,1987,
Cyanide,France,2000,Acquired by Bigben Interactive (latterly Nacon) in 2018
CyberConnect2,Japan,1996,
CyberStep,Japan,2000,Developer/publisher of global online games
Cyberdreams,United States,1990,Defunct in 1997.
Cyberlore Studios (Blueline Simulations[9]),United States,1992,Developer of computer games
Cybersoft,Florida,1994,Label of GameTek. Last game published in 1995.
Cygames,Japan,2011,Subsidiary of CyberAgent
D3 Publisher,Japan,1996,
DK'Tronics,UK,1981,Defunct in 1993.
DROsoft,Spain,1986,Acquired by Electronic Arts in 1994.
Daedalic Entertainment,Germany,2007,
Dambuster Studios,United Kingdom,2014,Formed by former employees of Crytek UK; acquired by Koch Media in 2014 and managed by its Deep Silver division
Danger Close Games,United States,1995,Subsidiary of Electronic Arts; defunct in 2013
DarXabre,The Netherlands,2001,Defunct.
Data Age,United States,1982,Defunct in 1983.
Data Becker,Germany,1980,Defunct in 2014.
Data East,Japan,1976,
Datam Polystar,Japan,1990,No longer publishes video games.
Datamost,United States,1981,Defunct in 1985.
Datasoft,United States,1980,Reformed as IntelliCreations in 1987.
Davidson & Associates,United States,1983,Acquired by CUC International in 1996. Defunct in 1999.
Davilex Games,The Netherlands,1997,Ceased publishing video games in 2005.
Davka,United States,1982,No longer publishes video games.
Day 1 Studios,United States,2001,Merged with WarGaming[10]
Daybreak Game Company,United States,1997,Acquired by Enad Global 7 in 2020.[11]
DeNA,Japan,1999,
Deadline Games,Denmark,1996,
Deck13,Germany,2001,Acquired by Focus Home Interactive in 2020.[12]
Deep Silver,Germany,2002,Label of Koch Media. Purchased video game developer Volition and the Metro franchise from THQ in 2013. Acquired by THQ Nordic in 2018.
Deep Silver Volition,United States,1996,Acquired by Koch Media in 2013 and managed by its Deep Silver division
Delphine Software International,France,1988,Defunct in 2004.
Delta 4,UK,1984,Defunct in 1992.
Demiurge Studios,United States,2002,acquired by Sega in 2015
Destination Software,United States,2001,Used the label DSI Games. Acquired by GreenScreen Interactive Software in 2008.
Destineer,United States,2000,"Also a video game developer. Publishes under the Bold Games, MacSoft, and Atomic Games labels."
Developer House (Developer House Technology PVT LTD)[13],India,2015,
Devolver Digital,United States,2008,
Dhruva Interactive,India,1997,Acquired by Starbreeze Studios in 2016 and then they were acquired by Rockstar Games and were merged into Rockstar India in 2019
Die Gute Fabrik,Denmark,2006,
Digital Eclipse,United States,1992,Division of Other Ocean Group[14]
Digital Extremes,Canada,1993,"Subsidiary of Leyou; Founded by James Schmalz, co-creator of Unreal series."
Digital Fantasia,UK,1982,Ceased publishing in 1983; defunct in 1991.
Digital Integration,UK,1982,Acquired by Titus Interactive in 1998; defunct in 2005.
Digital Jesters,UK,2003,Defunct in 2006.
Digital Leisure,Canada,1997,
Digital Pictures,United States,1991,Defunct in 1996.
Digital Reality,Hungary,1991,Defunct in 2013; their assets were acquired by Nordic Games[15]
Digitalmindsoft,Germany,2006,
Dimps,Japan,2000,
Dinamic Multimedia,Spain,1993,Defunct in 2001.
Dinamic Software,Spain,1983,Also a video game developer. Defunct in 1992.
Disney Interactive Studios,United States,1988,Publisher and subsidiary of The Walt Disney Company; closed in 2016
Domark,UK,1984,"Merged with Big Red Software, Simis, and Eidos Technologies to form Eidos Interactive in 1996."
Dontnod Entertainment,France,2008,
DotEmu,France,2007,
Double Fine,US,2000,Acquired by Microsoft in 2019
Double Fine Productions,United States,2000,Founded by former employees of LucasArts; acquired by Microsoft in 2019
Dovetail Games,United Kingdom,2008,
Dragon Data,UK,1980,Division of Mettoy. Defunct in 1984.
DreamCatcher Games,Canada,1996,Acquired by JoWooD Productions. Folded into Nordic Games in 2011.
DreamWorks Interactive,United States,1995,Joint venture between DreamWorks and Microsoft. Acquired by Electronic Arts in 2000.
Dtp entertainment,Germany,1995,
Durell Software,UK,1983,Exited the video game industry in 1987.
Dynamic Planning,Japan,1974,Also known as Dynamic Kikaku. No longer publishes video games.
Dynamix,United States,1984,Closed in 2001
EA Black Box,Canada,1998,Subsidiary of Electronic Arts; closed in 2013
EA Digital Illusions CE (EA DICE),Sweden,1992,Acquired by Electronic Arts in 2004
EA Gothenburg,Sweden,2011,Subsidiary of Electronic Arts
EA Vancouver (formerly Distinctive Software),Canada,1982,Acquired by Electronic Arts in 1991
ELF Corporation,Japan,1989,Defunct in 2015.
ERE Informatique,France,1981,Acquired by Infogrames in 1987.
ESA (formerly Softmax),South Korea,1994,ESA left from game business. The former employees formed Studio 4Leaf and the studio was acquired by NextFloor [ko].[16]
EasyGameStation,Japan,2001,
Eat Sleep Play,United States,2007,Defunct in 2017
Ecole Software,Japan,1989,No longer publishes video games.
Eden Games,France,1998,Former subsidiary of Atari SA
Edge Games,United States,1990,
Edu-Ware,United States,1979,Defunct in 1985.
Egosoft,Germany,1988,
Eighting,Japan,1993,Acquired by COLOPL
Eko Software,France,1999,Acquired by Bigben Interactive (latterly Nacon) in 2018
Electric Dreams Software,UK,1985,Defunct in 1989.
Electric Transit,United States,1985,Defunct in 1987.
Electro Brain,United States,1990,Defunct in 1998.
Electronic Arts,United States,1982,Developer/publisher/distributor
Electronic Arts Victor,Japan,1993,Joint venture of Electronic Arts and Victor Interactive. Defunct in 2003.
Elemental Games,Russia,1999,Defunct in 2015
Elite Systems,UK,1984,
Emerald Software,Ireland,1988,Defunct in 1991.
Empire Interactive,UK,1987,Defunct in 2009.
En Masse Entertainment,United States,2010,Subsidiary of Krafton Game Union; closed in 2020.[1]
"Encore, Inc.",United States,1994,"Acquired by Speed Commerce in 2002, WYNIT Distribution LLC in 2014. Encore acquired Viva Media."
Engine Software,Netherlands,1995,Also middleware developer
English Software,UK,1982,Defunct in 1987.
Enix,Japan,1975,Merged with Square as Square Enix.
Enlight Software,United States,1993,
Ensemble Studios,United States,1995,Former subsidiary of Microsoft Studios
Enterbrain,Japan,1987,Division of Kadokawa Corporation; its game business was merged into Kadokawa Games in 2009.
Entertainment Software Publishing,Japan,1997,"Also known as ESP. Acquired by D3 Publisher, which continued to use it as a label until 2010."
Eolith,South Korea,1996,Defunct in 2005.
Eon Digital Entertainment,UK,2000,Defunct in 2002.
Epic Games,United States,1991,"Developer, publisher, and distributor"
Epicenter Studios,United States,2007,
Epics,Japan,1987,
Epoch Co.,Japan,1958,No longer publishes video games.
Epyx,United States,1978,"Developer/publisher, defunct 1993"
Eugen Systems,France,2000,
Eurocom,United Kingdom,1988,
Europress,UK,1965,Acquired by Hasbro Interactive in 1999.
Eushully,Japan,1998,Team within Arkham Products until 2005; label of Eukleia since then.
Evolution Studios,United Kingdom,1999,Division of SIE Worldwide Studios and subsidiary of Sony Computer Entertainment; defunct in 2016
Examu,Japan,2007,Their business operations were suspended in 2020 and their business was taken over by Team Arcana.[17]
Exidy,United States,1974,Defunct in 1989.
Eyedentity Games,South Korea,2007,Acquired by Shanda Games (currently Shengqu Games) in 2010
F&C,Japan,1987,Known as Ides until 1997; published games under the FairyTale and Cocktail Soft labels until then.
F4,France,2002,
FASA,United States,1980,Ended video game development and publishing 2012
FASA Studio,United States,1994,defunct in 2007
FTL Games,United States,1982,Closed in 1982
FUN Labs,Romania,1999,
Fabtek,United States,1987,Defunct in 1999.
Facepunch Studios,United Kingdom,2009,
Fairchild Semiconductor,United States,1957,"Initially a division of Fairchild Camera and Instrument. Acquired by Schlumberger in 1979, then by National Semiconductor in 1987; regained independence in 1997; acquired by ON Semiconductor in 2016."
Family Soft,Japan,1987,
Fandom,,2004,
Fantasy Software,UK,1983,Defunct in 1985.
FarSight Studios,United States,1989,
Faster Than Light,UK,1986,Label of Gargoyle Games. Defunct in 1989.
Fathammer,Finland,2002,Acquired by Telcogames in 2006.
Fatshark,Sweden,2008,Subsidiary of Tencent
Felistella,Japan,2010,
Feral Interactive,UK,1999,Publishes Macintosh and Linux games
Fill-in-Cafe,Japan,1987,Known as Team Cross Wonder until 1989. Defunct in 1998.
Firaxis Games,United States,1996,Subsidiary of 2K Games; founded by former employees of MicroProse.
Firebird Software,UK,1983,Defunct in 1989 upon MicroProse's acquisition of Telecomsoft.
Firefly Studios,United Kingdom,1999,
Firesprite,United Kingdom,2012,Formed by former employees of Studio Liverpool
First Star Software,United States,1982,Defunct in 2018. Their name and assets were acquired by BBG Entertainment
Fisher Price,United States,1930,Acquired by Mattel in 1993. No longer publishes video games.
Fishtank Interactive,Germany,2000,Publishing Label of Ravensburger Interactive. Acquired alongside parent by JoWooD Productions in 2002.
Flagship Studios,United States,2003,Closed down in 2008
Flair Software,UK,1990,Last game published in 1999.
Flight-Plan,Japan,1989,Defunct in 2010
Flying Edge,United States,1992,Label of Acclaim Entertainment. Defunct in 1994.
Flying Wild Hog,Poland,2009,Acquired by Embracer Group in 2020.[18]
Focus Home Interactive,France,1996,
Focus Multimedia,UK,1995,
FormGen,United States,1987,Acquired by GT Interactive in 1996.
Foundation 9 Entertainment,United States,1992,Dissolved in 2016
Fox Digital Entertainment,United States,2002,"Subsidiary of 20th Century Studios. The company still exists, but 20th Century Fox's video game business was rearranged to FoxNext."
Fox Interactive,United States,1982,Also a video game developer. Acquired by Activision Blizzard.
FoxNext,United States,2017,Division of 20th Century Studios. The company still exists but their game development studios were acquired by Scopely in 2020.[19]
Freeverse Software,United States,1994,Acquired by Ngmoco in 2010.
French Bread,Japan,1998,Formerly known as Watanabe Seisakusho.
Frictional Games,Sweden,2001,
Froggo,California,1987,Defunct in 1989.
Frogwares,Ukraine,2000,
FromSoftware,Japan,1986,Subsidiary of Kadokawa Corporation
Front Wing,Japan,2000,
Frontier Developments,United Kingdom,1994,
Frozenbyte,Finland,2001,
FuRyu,Japan,2007,
Fujisankei Communications International,United States,1986,No longer publishes video games
Fujitsu,Japan,1935,No longer publishes video games.
Full On Games,Japan,1996,Also known as FOG.
Funcom,Norway,1993,Developer/publisher; acquired by Tencent in 2020[20]
Future Games,Czech Republic,1996,Defunct in 2011.
Futuremark,Finland,1997,Their game development division was acquired by Rovio Entertainment. Futuremark itself was acquired by UL and was merged into them.
Fuuki,Japan,1977,No longer publishes video games.
G-Collections,Nevada,2001,Acquired by JAST USA in 2005; defunct in 2015.
G.rev,Japan,2000,
GN Software,Japan,2003,Label of Good Navigate.
GOG Ltd,Poland,2008,Also a digital distribution service.
GSC Game World,Ukraine,1995,"Defunct in 2011, reopened in 2014"
GSC World Publishing,Ukraine,2004,
GT Interactive,United States,1993,"Acquired by Atari, SA née Infogrames."
GTE Interactive Media,United States,1990,Software publishing arm of GTE. Defunct in 1997.
Gaelco,Spain,1981,Dissolved in 2007
Gaijin Entertainment,Russia,2002,
Gaijinworks,United States,2006,
Gainax,Japan,1984,No longer publishes video games.
Gakken,Japan,1947,No longer publishes video games.
Game Arts,Japan,1985,Acquired by GungHo Online Entertainment in 2005.
Game Designers' Workshop,United States,1973,Defunct in 1996.
Game Freak,Japan,1989,
Game Park,South Korea,1996,Defunct in 2007.
Game Studio,Japan,1985,Defunct in 2015.
GameHouse,United States,1998,"Casual game developer, publisher and portal; acquired by RealNetworks"
GameTek,United States,1987,Publishing label of IJE. Defunct in 1998.
Gamecock,United States,2007,Acquired by SouthPeak Games.
Gameloft,France,1999,Subsidiary of Vivendi; developer/publisher of mobile games
Games Workshop,UK,1975,Ceased publishing video games in 1985.
Games by Apollo,United States,1981,Defunct in 1983.
Ganbarion,Japan,1999,
Gargoyle Games,UK,1983,Defunct in 1987.
Gathering of Developers,United States,1998,Acquired by Take Two Interactive in 2000; renamed to Gathering. Defunct in 2004.
Gearbox Software,United States,1999,
Gebelli Software,United States,1982,Defunct in 1984.
Geewa,Czech Republic,2005,
General Entertainment,Japan,1994,Defunct in 2011.
Genius Sonority,Japan,2002,
Genki,Japan,1990,Subsidiary of Daikoku Denki [ja]
Ghostlight,UK,2004,
Giga,Japan,1993,
Gizmondo,Sweden,2000,Known as Tiger Telematics until 2004. Defunct in 2006.
